Jahr,Delikt,Geschlecht,Beziehungsart,Fälle,Straftaten_Total,davon_versucht,davon_mehrfach,Anzahl_geschaedigter_Personen_Total,<10 Jahre,10 - 19 Jahre,20 - 29 Jahre,30 - 39 Jahre,40 - 49 Jahre,50 - 59 Jahre,60 - 69 Jahre,70 Jahre und +
2009,Aussetzung (Art. 127),männlich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Aussetzung (Art. 127),weiblich,Alle,,,,,2,X,0.0,0.0,0.0,X,X,X,X
2009,Aussetzung (Art. 127),weiblich,   Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Aussetzung (Art. 127),weiblich,   ehemalige Partnerschaft,,,,,1,X,0.0,0.0,0.0,X,X,X,X
2009,Aussetzung (Art. 127),weiblich,   Eltern-Kind-Beziehung,,,,,1,X,0.0,0.0,0.0,X,X,X,X
2009,Aussetzung (Art. 127),weiblich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Gefährdung Leben (Art. 129),Total,Alle,162.0,164.0,2.0,20.0,166,3,14.0,44.0,48.0,37,13,5,2
2009,Gefährdung Leben (Art. 129),männlich,Alle,,,,,20,2,4.0,2.0,1.0,6,4,1,0
2009,Gefährdung Leben (Art. 129),männlich,   Partnerschaft,,,,,6,0,0.0,0.0,1.0,3,2,0,0
2009,Gefährdung Leben (Art. 129),männlich,   ehemalige Partnerschaft,,,,,3,X,0.0,0.0,0.0,X,X,X,X
2009,Gefährdung Leben (Art. 129),männlich,   Eltern-Kind-Beziehung,,,,,7,2,4.0,1.0,0.0,0,0,0,0
2009,Gefährdung Leben (Art. 129),männlich,   andere Verwandtschaftsbeziehung,,,,,5,0,0.0,2.0,0.0,2,0,1,0
2009,Gefährdung Leben (Art. 129),weiblich,Alle,,,,,146,1,10.0,42.0,47.0,31,9,4,2
2009,Gefährdung Leben (Art. 129),weiblich,   Partnerschaft,,,,,111,0,4.0,31.0,39.0,26,7,3,1
2009,Gefährdung Leben (Art. 129),weiblich,   ehemalige Partnerschaft,,,,,23,0,3.0,8.0,7.0,3,2,0,0
2009,Gefährdung Leben (Art. 129),weiblich,   Eltern-Kind-Beziehung,,,,,8,1,2.0,2.0,1.0,2,0,0,0
2009,Gefährdung Leben (Art. 129),weiblich,   andere Verwandtschaftsbeziehung,,,,,4,0,1.0,1.0,0.0,0,0,1,1
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),Total,Alle,4.0,4.0,0.0,1.0,4,2,2.0,0.0,0.0,0,0,0,0
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),männlich,Alle,,,,,3,X,0.0,0.0,0.0,X,X,X,X
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),männlich,   Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),männlich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),männlich,   Eltern-Kind-Beziehung,,,,,2,X,0.0,0.0,0.0,X,X,X,X
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),männlich,   andere Verwandtschaftsbeziehung,,,,,1,X,0.0,0.0,0.0,X,X,X,X
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),weiblich,Alle,,,,,1,X,0.0,0.0,0.0,X,X,X,X
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),weiblich,   Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),weiblich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),weiblich,   Eltern-Kind-Beziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136),weiblich,   andere Verwandtschaftsbeziehung,,,,,1,X,0.0,0.0,0.0,X,X,X,X
2009,Üble Nachrede (Art. 173),Total,Alle,121.0,124.0,0.0,11.0,127,0,6.0,17.0,40.0,28,23,11,2
2009,Üble Nachrede (Art. 173),männlich,Alle,,,,,70,0,0.0,8.0,20.0,16,15,9,2
2009,Üble Nachrede (Art. 173),männlich,   Partnerschaft,,,,,17,0,0.0,2.0,6.0,3,5,1,0
2009,Üble Nachrede (Art. 173),männlich,   ehemalige Partnerschaft,,,,,31,0,0.0,6.0,12.0,4,6,1,2
2009,Üble Nachrede (Art. 173),männlich,   Eltern-Kind-Beziehung,,,,,5,0,0.0,0.0,1.0,2,1,1,0
2009,Üble Nachrede (Art. 173),männlich,   andere Verwandtschaftsbeziehung,,,,,18,0,0.0,0.0,2.0,7,3,6,0
2009,Üble Nachrede (Art. 173),weiblich,Alle,,,,,57,0,6.0,9.0,20.0,12,8,2,0
2009,Üble Nachrede (Art. 173),weiblich,   Partnerschaft,,,,,4,0,0.0,0.0,2.0,0,2,0,0
2009,Üble Nachrede (Art. 173),weiblich,   ehemalige Partnerschaft,,,,,34,0,2.0,8.0,12.0,8,3,1,0
2009,Üble Nachrede (Art. 173),weiblich,   Eltern-Kind-Beziehung,,,,,8,0,3.0,1.0,2.0,1,1,0,0
2009,Üble Nachrede (Art. 173),weiblich,   andere Verwandtschaftsbeziehung,,,,,11,0,1.0,0.0,4.0,3,2,1,0
2009,Verleumdung (Art. 174),Total,Alle,104.0,107.0,0.0,11.0,111,1,3.0,18.0,35.0,31,16,5,2
2009,Verleumdung (Art. 174),männlich,Alle,,,,,61,1,1.0,9.0,19.0,15,9,5,2
2009,Verleumdung (Art. 174),männlich,   Partnerschaft,,,,,13,0,0.0,1.0,5.0,3,3,0,1
2009,Verleumdung (Art. 174),männlich,   ehemalige Partnerschaft,,,,,27,0,0.0,3.0,11.0,10,2,1,0
2009,Verleumdung (Art. 174),männlich,   Eltern-Kind-Beziehung,,,,,6,0,1.0,1.0,2.0,0,1,1,0
2009,Verleumdung (Art. 174),männlich,   andere Verwandtschaftsbeziehung,,,,,17,1,0.0,4.0,3.0,2,3,3,1
2009,Verleumdung (Art. 174),weiblich,Alle,,,,,50,0,2.0,9.0,16.0,16,7,0,0
